DATE	2021/09/11 13:13:21
ファイル名	Ni_calibration__ANA.txt
元ファイル名	Ni_calibration_.txt
新規	1	(0:新規 1:解析 2:ファイル開く 3:パラメータ保存)
コメント	
磁場単位	2	Oe	(0=emu 1=mT 2=Oe)
磁化単位	0	emu	(0=emu 1=mT 2=Oe 3=emu/g 4=emu/cc)
ステップ数	100
低速区間	100.000	[Oe]
低速ステップ数	100
サンプルレート	10000.000	[Hz]
サンプル数	1000.000
ステップ時間	300.000	[ms/step]
形状選択	0	(0=四角 1=円 2=任意形状)
縦	0.000	[mm]
横	0.000	[mm]
半径	0.000	[mm]
面積	0.000	[mm^2]
厚さ	0.000	[μm]
重量	0.000	[mg]
0:PC 1:ローカル	1
磁場係数	0.000
0:終了後処理なし 1:終了後処理する	1
最大磁場設定値	5.069619265	[V]	10139.239	[Oe]	
測定ステップ幅	5.019619265E-2	[V]
全測定数	802.000
磁場レンジ	10000	[Oe]
測定方法	通常測定
磁化感度	1.000E-1	[emu]
時定数	100.000	[ms]
mGM係数	2.968922000	[Oe/V]
傾き補正	1	(0:補正なし 1:手動補正 2:自動補正)
補正磁場	100.000000000	[Oe]
補正量	-0.000045000	[emu]
自動補正領域	10.000000000	[％]
傾き(自動)	0.000000000
フィルタ処理	0	(0:補正なし 1:手動補正)
フィルタ選択	0	(0:メディアン 1:メディアン＋ローパス 2:移動平均 3:メディアン＋移動平均 4:標準偏差＋移動平均)
メディアン階数	0
標準偏差しきい値	0.000000000
移動平均長さ	0
フィルタ形式	0	(0ベッセル 1:チェビシェフ 2:バターワース 3:チェビシェフpbyp)
低域カットオフ周波数	0.000000000
次数	0
位相ズレ	0
磁場オフセット	0	(0:補正なし 1:平均 2:手動 3:最大最小)
磁場手動オフセット	0.000000000	[Oe]
磁場自動オフセット	0.000000000	[Oe]
磁化オフセット	0	(0:補正なし 1:平均 2:手動 3:最大最小)
磁化手動オフセット	0.000000000	[emu]
磁化自動オフセット	0.000000000	[emu]
mGM結合	0	(0:補正なし 1:自動補正)
Ms手動	0.000000000
Hc手動	0.000000000
Mr手動	0.000000000
Mr/Ms手動	0.000000000
Hk手動	0.000000000
Ms自動	0.001689244
Hc自動	32.366480488
Mr自動	0.003283649
Mr/Ms自動	1.943857099
自動Ms領域	10.000000000	[%]








磁場(GM)[V]	磁場(mGM)[V]	磁化[V]	出力強磁界[V]	出力弱磁界[V]	出力したい磁場[Oe]	磁場(GM)[Oe]	磁場(mGM)[Oe]	磁化[emu]	磁場(GM+mGM)[Oe]	磁化(GM+mGM)[emu]	0:mGM 1:GM
5.139004220	16.202189352	-0.002144186	8.389535579	1.210195614	10139.379375537	10278.008439750	19.442627223	-0.000107209	10278.008439750	0.004517895	1.000000000
5.090014864	16.202189352	-0.002160252	8.306613070	1.210195614	10038.985581782	10180.029727787	19.442627223	-0.000108013	10180.029727787	0.004473001	1.000000000
5.040471672	16.202189352	-0.001481400	8.223690561	1.210195614	9938.591788027	10080.943343790	19.442627223	-0.000074070	10080.943343790	0.004462354	1.000000000
4.990570445	16.202189352	-0.000985395	8.140857062	1.210195614	9838.197994271	9981.140890711	19.442627223	-0.000049270	9981.140890711	0.004442244	1.000000000
4.940859922	16.202189352	-0.000885174	8.058318337	1.210195614	9737.804200516	9881.719843735	19.442627223	-0.000044259	9881.719843735	0.004402515	1.000000000
4.890858002	16.202189352	-0.000027046	7.975779611	1.210195614	9637.410406760	9781.716004280	19.442627223	-0.000001352	9781.716004280	0.004400420	1.000000000
4.840807875	16.202189352	0.000787474	7.893240886	1.210195614	9537.016613005	9681.615749622	19.442627223	0.000039374	9681.615749622	0.004396101	1.000000000
4.790855157	16.202189352	0.000917532	7.810718679	1.210195614	9436.622819250	9581.710313723	19.442627223	0.000045877	9581.710313723	0.004357646	1.000000000
4.740827740	16.202189352	0.001778210	7.728326588	1.210195614	9336.229025494	9481.655480992	19.442627223	0.000088910	9481.655480992	0.004355655	1.000000000
4.690834880	16.202189352	0.002282121	7.645934496	1.210195614	9235.835231739	9381.669759151	19.442627223	0.000114106	9381.669759151	0.004335857	1.000000000
4.640616932	16.202189352	0.002611091	7.563542405	1.210195614	9135.441437984	9281.233863211	19.442627223	0.000130555	9281.233863211	0.004307110	1.000000000
4.590331525	16.202189352	0.003397559	7.481150314	1.210195614	9035.047644228	9180.663049813	19.442627223	0.000169878	9180.663049813	0.004301176	1.000000000
4.540185156	16.202189352	0.003535013	7.398685994	1.210195614	8934.653850473	9080.370311673	19.442627223	0.000176751	9080.370311673	0.004262917	1.000000000
4.489929041	16.202189352	0.004449754	7.316220651	1.210195614	8834.260056718	8979.858082981	19.442627223	0.000222488	8979.858082981	0.004263424	1.000000000
4.439714558	16.202189352	0.004942189	7.233755308	1.210195614	8733.866262962	8879.429115348	19.442627223	0.000247109	8879.429115348	0.004242853	1.000000000
4.389397075	16.202189352	0.005108969	7.151289965	1.210195614	8633.472469207	8778.794149304	19.442627223	0.000255448	8778.794149304	0.004205906	1.000000000
4.338949443	16.202189352	0.006192276	7.068865867	1.210195614	8533.078675451	8677.898886995	19.442627223	0.000309614	8677.898886995	0.004214668	1.000000000
4.288564175	16.202189352	0.006349876	6.986448311	1.210195614	8432.684881696	8577.128349446	19.442627223	0.000317494	8577.128349446	0.004177202	1.000000000
4.238345751	16.202189352	0.006761216	6.904030756	1.210195614	8332.291087941	8476.691501002	19.442627223	0.000338061	8476.691501002	0.004152572	1.000000000
4.187990432	16.202189352	0.007544369	6.821613201	1.210195614	8231.897294185	8375.980863995	19.442627223	0.000377218	8375.980863995	0.004146410	1.000000000
4.137715740	16.202189352	0.007663206	6.739153334	1.210195614	8131.503500430	8275.431479226	19.442627223	0.000383160	8275.431479226	0.004107104	1.000000000
4.087195064	16.202189352	0.008309416	6.656678426	1.210195614	8031.109706675	8174.390127295	19.442627223	0.000415471	8174.390127295	0.004093946	1.000000000
4.036792693	16.202189352	0.008846224	6.574203519	1.210195614	7930.715912919	8073.585386336	19.442627223	0.000442311	8073.585386336	0.004075425	1.000000000
3.986382427	16.202189352	0.009094609	6.491728612	1.210195614	7830.322119164	7972.764853663	19.442627223	0.000454730	7972.764853663	0.004042475	1.000000000
3.935897626	16.202189352	0.009940241	6.409211490	1.210195614	7729.928325408	7871.795252762	19.442627223	0.000497012	7871.795252762	0.004039320	1.000000000
3.885451330	16.202189352	0.010529582	6.326667974	1.210195614	7629.534531653	7770.902659990	19.442627223	0.000526479	7770.902659990	0.004023385	1.000000000
3.835019350	16.202189352	0.010835346	6.244124459	1.210195614	7529.140737898	7670.038700876	19.442627223	0.000541767	7670.038700876	0.003993285	1.000000000
3.784752076	16.202189352	0.011346397	6.161580943	1.210195614	7428.746944142	7569.504152373	19.442627223	0.000567320	7569.504152373	0.003973597	1.000000000
3.734191431	16.202189352	0.012205290	6.078984065	1.210195614	7328.353150387	7468.382862185	19.442627223	0.000610265	7468.382862185	0.003971037	1.000000000
3.683824615	16.202189352	0.012955291	5.996333020	1.210195614	7227.959356632	7367.649229262	19.442627223	0.000647765	7367.649229262	0.003963207	1.000000000
3.633197664	16.202189352	0.013408199	5.913681975	1.210195614	7127.565562876	7266.395328314	19.442627223	0.000670410	7266.395328314	0.003940288	1.000000000
3.582791362	16.202189352	0.013818264	5.831030929	1.210195614	7027.171769121	7165.582724183	19.442627223	0.000690913	7165.582724183	0.003915425	1.000000000
3.532277453	16.202189352	0.014366038	5.748374524	1.210195614	6926.777975365	7064.554906937	19.442627223	0.000718302	7064.554906937	0.003897352	1.000000000
3.481756142	16.202189352	0.014797269	5.665709467	1.210195614	6826.384181610	6963.512284817	19.442627223	0.000739863	6963.512284817	0.003873444	1.000000000
3.431463048	16.202189352	0.015576597	5.583044410	1.210195614	6725.990387855	6862.926096898	19.442627223	0.000778830	6862.926096898	0.003867147	1.000000000
3.381009695	16.202189352	0.016436000	5.500379354	1.210195614	6625.596594099	6762.019390920	19.442627223	0.000821800	6762.019390920	0.003864709	1.000000000
3.330639107	16.202189352	0.017060788	5.417687062	1.210195614	6525.202800344	6661.278214447	19.442627223	0.000853039	6661.278214447	0.003850615	1.000000000
3.280187568	16.202189352	0.017729694	5.334920983	1.210195614	6424.809006589	6560.375135248	19.442627223	0.000886485	6560.375135248	0.003838654	1.000000000
3.229624637	16.202189352	0.018208359	5.252154903	1.210195614	6324.415212833	6459.249273952	19.442627223	0.000910418	6459.249273952	0.003817080	1.000000000
3.179125714	16.202189352	0.018934643	5.169388824	1.210195614	6224.021419078	6358.251427195	19.442627223	0.000946732	6358.251427195	0.003807945	1.000000000
3.128704619	16.202189352	0.019697140	5.086630849	1.210195614	6123.627625322	6257.409237435	19.442627223	0.000984857	6257.409237435	0.003800691	1.000000000
3.078195004	16.202189352	0.020563938	5.003914911	1.210195614	6023.233831567	6156.390007247	19.442627223	0.001028197	6156.390007247	0.003798572	1.000000000
3.027753016	16.202189352	0.021519737	4.921198973	1.210195614	5922.840037812	6055.506031158	19.442627223	0.001075987	6055.506031158	0.003800965	1.000000000
2.977270717	16.202189352	0.022571677	4.838483035	1.210195614	5822.446244056	5954.541434278	19.442627223	0.001128584	5954.541434278	0.003808127	1.000000000
2.926990638	16.202189352	0.023283935	4.755757185	1.210195614	5722.052450301	5853.981276785	19.442627223	0.001164197	5853.981276785	0.003798488	1.000000000
2.876439072	16.202189352	0.024030621	4.672847567	1.210195614	5621.658656546	5752.878144551	19.442627223	0.001201531	5752.878144551	0.003790326	1.000000000
2.826037567	16.202189352	0.024692897	4.589937948	1.210195614	5521.264862790	5652.075134049	19.442627223	0.001234645	5652.075134049	0.003778079	1.000000000
2.775351247	16.202189352	0.025266682	4.507028330	1.210195614	5420.871069035	5550.702493498	19.442627223	0.001263334	5550.702493498	0.003761150	1.000000000
2.724964882	16.202189352	0.026698340	4.424118712	1.210195614	5320.477275279	5449.929764146	19.442627223	0.001334917	5449.929764146	0.003787385	1.000000000
2.674426156	16.202189352	0.027589110	4.341213303	1.210195614	5220.083481524	5348.852312028	19.442627223	0.001379455	5348.852312028	0.003786439	1.000000000
2.624005077	16.202189352	0.028083330	4.258308115	1.210195614	5119.689687769	5248.010153186	19.442627223	0.001404166	5248.010153186	0.003765771	1.000000000
2.573596174	16.202189352	0.029045504	4.175402927	1.210195614	5019.295894013	5147.192348935	19.442627223	0.001452275	5147.192348935	0.003768512	1.000000000
2.522984068	16.202189352	0.029941374	4.092497739	1.210195614	4918.902100258	5045.968136903	19.442627223	0.001497069	5045.968136903	0.003767754	1.000000000
2.472598698	16.202189352	0.030654398	4.009523053	1.210195614	4818.508306503	4945.197396326	19.442627223	0.001532720	4945.197396326	0.003758059	1.000000000
2.422052246	16.202189352	0.031660179	3.926536032	1.210195614	4718.114512747	4844.104491718	19.442627223	0.001583009	4844.104491718	0.003762856	1.000000000
2.371581318	16.202189352	0.032539473	3.843549010	1.210195614	4617.720718992	4743.162636337	19.442627223	0.001626974	4743.162636337	0.003761397	1.000000000
2.321245478	16.202189352	0.033395816	3.760561988	1.210195614	4517.326925236	4642.490956138	19.442627223	0.001669791	4642.490956138	0.003758912	1.000000000
2.270677804	16.202189352	0.034427354	3.677627737	1.210195614	4416.933131481	4541.355608537	19.442627223	0.001721368	4541.355608537	0.003764978	1.000000000
2.220332094	16.202189352	0.035195717	3.594710868	1.210195614	4316.539337726	4440.664188876	19.442627223	0.001759786	4440.664188876	0.003758085	1.000000000
2.169783839	16.202189352	0.036181607	3.511793999	1.210195614	4216.145543970	4339.567677522	19.442627223	0.001809080	4339.567677522	0.003761886	1.000000000
2.119481734	16.202189352	0.036936198	3.428877131	1.210195614	4115.751750215	4238.963468370	19.442627223	0.001846810	4238.963468370	0.003754343	1.000000000
2.068989260	16.202189352	0.037972837	3.345821810	1.210195614	4015.357956460	4137.978519181	19.442627223	0.001898642	4137.978519181	0.003760732	1.000000000
2.018442324	16.202189352	0.038965103	3.262692506	1.210195614	3914.964162704	4036.884647811	19.442627223	0.001948255	4036.884647811	0.003764853	1.000000000
1.967928133	16.202189352	0.039791354	3.179563202	1.210195614	3814.570368949	3935.856265203	19.442627223	0.001989568	3935.856265203	0.003760703	1.000000000
1.917433852	16.202189352	0.040606894	3.096433898	1.210195614	3714.176575193	3834.867703282	19.442627223	0.002030345	3834.867703282	0.003756035	1.000000000
1.866813042	16.202189352	0.041515514	3.013300954	1.210195614	3613.782781438	3733.626083204	19.442627223	0.002075776	3733.626083204	0.003755907	1.000000000
1.816259200	16.202189352	0.042815329	2.930165171	1.210195614	3513.388987683	3632.518399843	19.442627223	0.002140766	3632.518399843	0.003775400	1.000000000
1.765889149	16.202189352	0.043481940	2.847029388	1.210195614	3412.995193927	3531.778298022	19.442627223	0.002174097	3531.778298022	0.003763397	1.000000000
1.715374634	16.202189352	0.044370160	2.763893604	1.210195614	3312.601400172	3430.749268503	19.442627223	0.002218508	3430.749268503	0.003762345	1.000000000
1.664856336	16.202189352	0.045565418	2.680741758	1.210195614	3212.207606417	3329.712672330	19.442627223	0.002278271	3329.712672330	0.003776642	1.000000000
1.614395463	16.202189352	0.046375858	2.597571943	1.210195614	3111.813812661	3228.790926206	19.442627223	0.002318793	3228.790926206	0.003771749	1.000000000
1.563655698	16.202189352	0.047316611	2.514402129	1.210195614	3011.420018906	3127.311396163	19.442627223	0.002365831	3127.311396163	0.003773121	1.000000000
1.513231355	16.202189352	0.048552671	2.431232314	1.210195614	2911.026225150	3026.462709232	19.442627223	0.002427634	3026.462709232	0.003789542	1.000000000
1.462712567	16.202189352	0.049428650	2.348018082	1.210195614	2810.632431395	2925.425133911	19.442627223	0.002471433	2925.425133911	0.003787874	1.000000000
1.412062149	16.202189352	0.050220984	2.264732596	1.210195614	2710.238637640	2824.124298715	19.442627223	0.002511049	2824.124298715	0.003781905	1.000000000
1.361494989	16.202189352	0.051380030	2.181447111	1.210195614	2609.844843884	2722.989978483	19.442627223	0.002569002	2722.989978483	0.003794347	1.000000000
1.311040704	16.202189352	0.052228977	2.098161626	1.210195614	2509.451050129	2622.081407067	19.442627223	0.002611449	2622.081407067	0.003791385	1.000000000
1.260392099	16.202189352	0.053165905	2.014857859	1.210195614	2409.057256374	2520.784197238	19.442627223	0.002658295	2520.784197238	0.003792648	1.000000000
1.209736584	16.202189352	0.054288484	1.931511772	1.210195614	2308.663462618	2419.473167925	19.442627223	0.002714424	2419.473167925	0.003803187	1.000000000
1.159348116	16.202189352	0.055303701	1.848165685	1.210195614	2208.269668863	2318.696232643	19.442627223	0.002765185	2318.696232643	0.003808598	1.000000000
1.108925755	16.202189352	0.055983573	1.764819598	1.210195614	2107.875875107	2217.851509116	19.442627223	0.002799179	2217.851509116	0.003797212	1.000000000
1.058343956	16.202189352	0.056807528	1.681474868	1.210195614	2007.482081352	2116.687911399	19.442627223	0.002840376	2116.687911399	0.003792886	1.000000000
1.007723162	16.202189352	0.057970145	1.598134886	1.210195614	1907.088287597	2015.446323974	19.442627223	0.002898507	2015.446323974	0.003805458	1.000000000
0.957110267	16.202189352	0.058807106	1.514794904	1.210195614	1806.694493841	1914.220533802	19.442627223	0.002940355	1914.220533802	0.003801755	1.000000000
0.906586059	16.202189352	0.059925860	1.431454922	1.210195614	1706.300700086	1813.172117740	19.442627223	0.002996293	1813.172117740	0.003812220	1.000000000
0.856190027	16.202189352	0.060631998	1.348114823	1.210195614	1605.906906331	1712.380054261	19.442627223	0.003031600	1712.380054261	0.003802171	1.000000000
0.805613004	16.202189352	0.061717345	1.264774027	1.210195614	1505.513112575	1611.226007297	19.442627223	0.003085867	1611.226007297	0.003810919	1.000000000
0.755153461	16.202189352	0.062565017	1.181433231	1.210195614	1405.119318820	1510.306922814	19.442627223	0.003128251	1510.306922814	0.003807889	1.000000000
0.704574794	16.202189352	0.063316038	1.098092435	1.210195614	1304.725525064	1409.149587791	19.442627223	0.003165802	1409.149587791	0.003799919	1.000000000
0.654098470	16.202189352	0.064030337	1.014739977	1.210195614	1204.331731309	1308.196940060	19.442627223	0.003201517	1308.196940060	0.003790205	1.000000000
0.603497262	16.202189352	0.064598257	0.931214008	1.210195614	1103.937937554	1206.994524013	19.442627223	0.003229913	1206.994524013	0.003773060	1.000000000
0.552954466	16.202189352	0.065173827	0.847688038	1.210195614	1003.544143798	1105.908931569	19.442627223	0.003258691	1105.908931569	0.003756350	1.000000000
0.502348323	16.202189352	0.065790710	0.764162068	1.210195614	903.150350043	1004.696645590	19.442627223	0.003289535	1004.696645590	0.003741649	1.000000000
0.451824614	16.202189352	0.065809836	0.680636098	1.210195614	802.756556288	903.649228393	19.442627223	0.003290492	903.649228393	0.003697134	1.000000000
0.401481899	16.202189352	0.065686918	0.597190372	1.210195614	702.362762532	802.963797140	19.442627223	0.003284346	802.963797140	0.003645680	1.000000000
0.351024500	16.202189352	0.065175102	0.513745262	1.210195614	601.968968777	702.049000155	19.442627223	0.003258755	702.049000155	0.003574677	1.000000000
0.300355835	16.202189352	0.064285862	0.430300152	1.210195614	501.575175021	600.711669121	19.442627223	0.003214293	600.711669121	0.003484613	1.000000000
0.249790171	16.202189352	0.062763164	0.346855042	1.210195614	401.181381266	499.580341341	19.442627223	0.003138158	499.580341341	0.003362969	1.000000000
0.199258073	16.202189352	0.060274466	0.263337590	1.210195614	300.787587511	398.516146214	19.442627223	0.003013723	398.516146214	0.003193056	1.000000000
0.148830787	16.202189352	0.056661404	0.179813664	1.210195614	200.393793755	297.661574097	19.442627223	0.002833070	297.661574097	0.002967018	1.000000000
0.098210498	16.202189352	0.050931968	0.096289738	1.210195614	100.000000000	196.420995341	19.442627223	0.002546598	196.420995341	0.002634988	1.000000000
